zipcode,licenses
01923,1
63005,7
63006,1
63010,17
630100000,5
630103498,1
630104717,1
63011,11
630110000,3
63012,4
630120000,1
63013,1
63015,1
63016,3
630160000,1
630160260,1
63017,2
630170000,1
630178006,1
630190000,1
63020,12
630200000,2
630204589,1
63021,4
630210000,2
630214602,1
63023,3
63025,5
630250000,1
630253157,1
63026,9
630260000,2
630264340,1
63028,7
630280000,3
630281907,1
63031,4
63033,1
63036,1
63037,1
630370000,1
63038,2
630380000,1
630382000,1
63040,1
630401610,1
63042,1
630420000,1
630422745,1
63043,3
630430000,2
630431137,1
630431638,1
63044,4
630440000,1
630450000,1
63048,1
63049,11
630490000,2
63050,7
630500000,4
63051,3
630510000,1
63052,10
630521809,1
63055,2
630550000,1
63056,2
63060,3
63068,5
630680000,1
63069,6
630690000,1
630690535,1
63070,4
630700000,3
63072,4
63074,3
63077,5
63080,6
630800000,1
63084,9
630840000,3
630841030,1
63087,1
63088,5
63089,2
630890000,2
63090,11
630900000,2
63091,2
631030000,2
63105,5
631050000,2
631051925,1
631060000,1
63109,2
631092178,1
63110,3
631100000,1
631101890,1
63111,1
631110000,3
63114,5
631140000,2
631143721,1
63116,2
631160000,1
63118,2
631180000,2
63119,1
631190000,3
63121,2
631210000,1
63122,5
631220000,1
631226007,1
63123,11
631230000,2
631232509,1
63124,2
631240000,1
63125,4
631252298,1
63126,6
631260000,4
63127,1
631270000,1
63128,4
63129,6
631290000,1
631295329,1
63130,1
63131,4
631311904,4
63132,1
631320000,1
63133,1
631330000,1
631340000,1
631350000,1
631360000,1
631370000,1
631392218,1
63141,2
631410000,2
63143,2
631430000,1
63144,1
63146,1
631460000,2
631462278,1
63147,1
63301,12
633010000,5
633010768,2
63303,6
633030000,4
633039009,1
63304,3
633040000,3
63332,1
633320000,1
63333,1
63334,7
633340000,1
63336,1
633392707,1
633410000,1
63343,3
633430000,3
63344,1
633440000,1
63347,1
63348,2
633480000,1
63349,2
633490000,1
633492304,1
633510000,1
633522503,1
63353,2
633530000,1
63357,1
633570000,1
63359,2
63361,4
633610000,1
63362,1
63363,1
633630000,2
63366,13
633660000,1
63367,1
63368,8
633680000,2
63373,1
63376,8
63376000,1
633760000,2
633762149,1
633763683,1
63377,1
633770000,1
63379,14
633790000,4
633792254,1
633792389,1
63380,1
63382,1
633820000,1
63383,6
633830000,1
63384,1
633840000,2
63385,10
633850000,1
633856213,1
63388,1
63389,4
63390,3
633900000,2
63401,7
634010000,1
634340000,1
63435,2
634350000,1
63436,1
63437,1
63440,1
634430000,1
63445,3
63446,1
63447,1
634470000,1
63448,3
63453,2
63456,2
634560000,2
63459,4
634590000,1
63460,1
63461,4
634610000,2
63462,2
634620000,4
63463,3
63468,3
634680000,1
